,type,date,time,duration,distance,origin,destination,total_earning,base_fare,customer_fare,paid_to_driver,paid_to_uber,datetime,duration_dt,distance_km,origin_lat_lng,destination_lat_lng
2476,Black,2024-08-30,08:47:00,17 min 0 sec,4.96 km,"Rua Coronel Melo de Oliveira, Perdizes - São Paulo - SP, 05011-040, BR","Rua Antônio Bicudo, Pinheiros - São Paulo - SP, 05418-010, BR",24.48,22.73,35.14,-24.48,10.66,2024-08-30 08:47:00,0 days 00:17:00,4.96,"[-23.5342921, -46.6837581]","[-23.5660573, -46.6885218]"
2477,Black,2024-08-30,08:29:00,8 min 17 sec,1.92 km,"R. Joaquim Ferreira, Água Branca - São Paulo - SP, 05033-080, BR","Rua Aimberê, Perdizes - Sao Paulo - SP, 05018-010, BR",11.91,11.91,17.96,-11.91,6.05,2024-08-30 08:29:00,0 days 00:08:17,1.92,"[-23.523321, -46.6837348]","[-23.5347106, -46.6795873]"
2478,Comfort,2024-08-30,08:01:00,8 min 30 sec,3.20 km,"R. dos Timbiras, República - São Paulo - SP, 01208-010, BR","Avenida Francisco Matarazzo, Barra Funda - São Paulo - SP, 05001-000, BR",19.03,11.53,21.01,-19.03,-1.52,2024-08-30 08:01:00,0 days 00:08:30,3.2,"[-23.5407477, -46.6396706]","[-23.5308861, -46.665509]"
2479,Black,2024-08-30,07:29:00,27 min 51 sec,9.59 km,"Alameda dos Jurupis, Moema - São Paulo - SP, 04088-002, BR","Rua Boa Vista, Sé - São Paulo - SP, 01014-902, BR",39.5,39.5,57.26,-39.5,17.76,2024-08-30 07:29:00,0 days 00:27:51,9.59,"[-23.605832, -46.6611816]","[-23.5463833, -46.6334429]"
2480,Black,2024-08-30,07:14:00,6 min 41 sec,1.94 km,"Avenida Miruna, Moema - São Paulo - SP, 04084-001, BR","Indianópolis - São Paulo - SP, 04027-000, BR",11.52,11.52,13.15,-11.52,0.27,2024-08-30 07:14:00,0 days 00:06:41,1.94,"[-23.6130821, -46.6635524]","[-23.597652, -46.6518076]"
2481,VIP,2024-08-29,20:17:00,13 min 56 sec,10.49 km,"R. Francisco José Carvalho, Sacoma - São Paulo - SP, 04191-130, BR","Rua Flávio Fongaro, Anchieta - São Bernardo do Campo - SP, 09726-430, BR",20.52,20.52,24.93,-20.52,4.41,2024-08-29 20:17:00,0 days 00:13:56,10.49,"[-23.6473898, -46.6064038]","[-23.6843313, -46.5620319]"
2482,UberX,2024-08-29,19:42:00,22 min 42 sec,9.25 km,"Rua Nélson de Almeida Duarte, Ipiranga - São Paulo - SP, 04224-020, BR","R. Jorge Cândido Marin, Vila Santa Luzia - São Bernardo do Campo - SP, 09668-125, BR",22.24,22.24,26.86,-22.24,3.28,2024-08-29 19:42:00,0 days 00:22:42,9.25,"[-23.5964715, -46.5944496]","[-23.6593126, -46.6160746]"
2483,Comfort,2024-08-29,19:23:00,20 min 37 sec,6.53 km,"Rua Tamandaré, Liberdade - São Paulo - SP, 01525-900, BR","Rua Silva Bueno, Ipiranga - São Paulo - SP, 04208-050, BR",20.79,19.29,24.9,-20.79,4.11,2024-08-29 19:23:00,0 days 00:20:37,6.53,"[-23.5638013, -46.6347974]","[-23.5825858, -46.602155]"
2484,Black,2024-08-29,19:01:00,15 min 40 sec,3.94 km,"Avenida São João, República - São Paulo - SP, 01035-100, BR","Rua Galvão Bueno, Liberdade - São Paulo - SP, 01506-000, BR",22.97,21.47,28.24,-22.97,-0.73,2024-08-29 19:01:00,0 days 00:15:40,3.94,"[-23.5409032, -46.6428636]","[-23.5596324, -46.6349487]"
2485,Black,2024-08-29,14:10:00,7 min 45 sec,1.15 km,"Av. Zaki Narchi, Vila Guilherme - São Paulo - SP, 02029-000, BR","R. José Bernardo Pinto, Vila Guilherme - São Paulo - SP, 02055-000, BR",9.51,9.51,12.98,-9.51,3.47,2024-08-29 14:10:00,0 days 00:07:45,1.15,"[-23.5110031, -46.6208342]","[-23.5135381, -46.6094327]"
2486,Black,2024-08-29,12:48:00,32 min 16 sec,13.13 km,"Alameda Afonso Schmidt, Santana - São Paulo - SP, 02450-000, BR","Rua José Oscar Abreu Sampaio, Vila Formosa - São Paulo - SP, 03337-020, BR",48.56,48.56,68.6,-48.56,20.04,2024-08-29 12:48:00,0 days 00:32:16,13.13,"[-23.497796, -46.6375709]","[-23.5577501, -46.564963]"
2487,Black,2024-08-29,08:19:00,18 min 14 sec,3.31 km,"R. Escobar Ortiz, Vila Nova Conceição - São Paulo - SP, 04512-052, BR","Av. Presidente Juscelino Kubitschek, Vila Nova Conceição - São Paulo - SP, 04543-907, BR",27.82,20.82,46.36,-27.82,18.54,2024-08-29 08:19:00,0 days 00:18:14,3.31,"[-23.5952041, -46.6672752]","[-23.5885584, -46.6759969]"
2488,Black,2024-08-29,08:09:00,6 min 49 sec,2.03 km,"R. Olimpiadas, Vila Olímpia - São Paulo - SP, 04551-000, BR","R. Afonso Braz, Vila Nova Conceição - São Paulo - SP, 04511-011, BR",23.23,13.98,25.17,-23.23,-7.3,2024-08-29 08:09:00,0 days 00:06:49,2.03,"[-23.5956584, -46.6850343]","[-23.5956453, -46.6673353]"
2489,Black,2024-08-29,07:45:00,16 min 51 sec,4.52 km,"Al. Jauaperi, Moema - São Paulo - SP, 04522-000, BR","Rua Gomes de Carvalho, Itaim Bibi - São Paulo - SP, 04547-006, BR",31.07,21.57,37.16,-31.07,6.09,2024-08-29 07:45:00,0 days 00:16:51,4.52,"[-23.5996226, -46.6621546]","[-23.5956723, -46.6879447]"
2490,Black,2024-08-29,07:23:00,14 min 25 sec,4.64 km,"Rua Seridó, Pinheiros - Sao Paulo - SP, 01455-040, BR","R. Quatá, Vila Olímpia - São Paulo - SP, 04546-042, BR",19.58,19.58,32.64,-22.58,13.06,2024-08-29 07:23:00,0 days 00:14:25,4.64,"[-23.5829305, -46.6898405]","[-23.5985, -46.6773761]"
